# ID          Name                  Mass(GeV)      Width(GeV)      Degeneracy      B      S      C      b      I        Q      Decays
9902112       N(2600)0              2.60000        0.650000        12              1      0      0      0      0.5      0      3
9902212       N(2600)+              2.60000        0.650000        12              1      0      0      0      0.5      1      3
-9902112      Anti-N(2600)0         2.60000        0.650000        12             -1      0      0      0      0.5      0      3
-9902212      Anti-N(2600)+         2.60000        0.650000        12             -1      0      0      0      0.5     -1      3
9911118       Delta(2420)-          2.45000        0.500000        12              1      0      0      0      1.5     -1      2
9911218       Delta(2420)0          2.45000        0.500000        12              1      0      0      0      1.5      0      3
9912128       Delta(2420)+          2.45000        0.500000        12              1      0      0      0      1.5      1      3
9912228       Delta(2420)++         2.45000        0.500000        12              1      0      0      0      1.5      2      2
-9911118      Anti-Delta(2420)-     2.45000        0.500000        12             -1      0      0      0      1.5      1      2
-9911218      Anti-Delta(2420)0     2.45000        0.500000        12             -1      0      0      0      1.5      0      3
-9912128      Anti-Delta(2420)+     2.45000        0.500000        12             -1      0      0      0      1.5     -1      3
-9912228      Anti-Delta(2420)++    2.45000        0.500000        12             -1      0      0      0      1.5     -2      2
9903128       Lambda(2350)          2.35000        0.150000        10              1     -1      0      0      0.0      0      7
-9903128      Anti-Lambda(2350)     2.35000        0.150000        10             -1      1      0      0      0.0      0      7
9090225       f2(2340)              2.34500        0.322000        5               0      0      0      0      0.0      0      2
9080225       f2(2300)              2.29700        0.149000        5               0      0      0      0      0.0      0      3
9912118       N(2250)0              2.28000        0.500000        10              1      0      0      0      0.5      0      5
9912218       N(2250)+              2.28000        0.500000        10              1      0      0      0      0.5      1      5
-9912118      Anti-N(2250)0         2.28000        0.500000        10             -1      0      0      0      0.5      0      5
-9912218      Anti-N(2250)+         2.28000        0.500000        10             -1      0      0      0      0.5     -1      5
203338        Omega(2250)           2.25200        0.055000        8               1     -3      0      0      0.0     -1      4
-203338       Anti-Omega(2250)      2.25200        0.055000        8              -1      3      0      0      0.0      1      4
319           K4*(2045)0            2.25000        0.199000        9               0      1      0      0      0.5      0      15
329           K4*(2045)+            2.25000        0.199000        9               0      1      0      0      0.5      1      15
-319          Anti-K4*(2045)0       2.25000        0.199000        9               0     -1      0      0      0.5      0      15
-329          Anti-K4*(2045)+       2.25000        0.199000        9               0     -1      0      0      0.5     -1      15
9902118       N(2220)0              2.25000        0.400000        10              1      0      0      0      0.5      0      3
9902218       N(2220)+              2.25000        0.400000        10              1      0      0      0      0.5      1      3
-9902118      Anti-N(2220)0         2.25000        0.400000        10             -1      0      0      0      0.5      0      3
-9902218      Anti-N(2220)+         2.25000        0.400000        10             -1      0      0      0      0.5     -1      3
9811118       Delta(2200)-          2.20000        0.350000        8               1      0      0      0      1.5     -1      7
9812118       Delta(2200)0          2.20000        0.350000        8               1      0      0      0      1.5      0      15
9812218       Delta(2200)+          2.20000        0.350000        8               1      0      0      0      1.5      1      15
9812228       Delta(2200)++         2.20000        0.350000        8               1      0      0      0      1.5      2      7
-9811118      Anti-Delta(2200)-     2.20000        0.350000        8              -1      0      0      0      1.5      1      7
-9812118      Anti-Delta(2200)0     2.20000        0.350000        8              -1      0      0      0      1.5      0      15
-9812218      Anti-Delta(2200)+     2.20000        0.350000        8              -1      0      0      0      1.5     -1      15
-9812228      Anti-Delta(2200)++    2.20000        0.350000        8              -1      0      0      0      1.5     -2      7
1218          N(2190)0              2.18000        0.400000        8               1      0      0      0      0.5      0      13
2128          N(2190)+              2.18000        0.400000        8               1      0      0      0      0.5      1      13
-1218         Anti-N(2190)0         2.18000        0.400000        8              -1      0      0      0      0.5      0      13
-2128         Anti-N(2190)+         2.18000        0.400000        8              -1      0      0      0      0.5     -1      13
7200333       phi(2170)             2.15900        0.137000        3               0      0      0      0      0.0      0      14
9861214       N(2120)0              2.12000        0.300000        4               1      0      0      0      0.5      0      21
9862124       N(2120)+              2.12000        0.300000        4               1      0      0      0      0.5      1      21
-9861214      Anti-N(2120)0         2.12000        0.300000        4              -1      0      0      0      0.5      0      21
-9862124      Anti-N(2120)+         2.12000        0.300000        4              -1      0      0      0      0.5     -1      21
3128          Lambda(2100)          2.10000        0.200000        8               1     -1      0      0      0.0      0      15
-3128         Anti-Lambda(2100)     2.10000        0.200000        8              -1      1      0      0      0.0      0      15
9872112       N(2100)0              2.10000        0.260000        2               1      0      0      0      0.5      0      16
9872212       N(2100)+              2.10000        0.260000        2               1      0      0      0      0.5      1      16
-9872112      Anti-N(2100)0         2.10000        0.260000        2              -1      0      0      0      0.5      0      16
-9872212      Anti-N(2100)+         2.10000        0.260000        2              -1      0      0      0      0.5     -1      16
9842116       N(2060)0              2.10000        0.400000        6               1      0      0      0      0.5      0      23
9842216       N(2060)+              2.10000        0.400000        6               1      0      0      0      0.5      1      23
-9842116      Anti-N(2060)0         2.10000        0.400000        6              -1      0      0      0      0.5      0      23
-9842216      Anti-N(2060)+         2.10000        0.400000        6              -1      0      0      0      0.5     -1      23
23126         Lambda(2110)          2.09000        0.250000        6               1     -1      0      0      0.0      0      13
-23126        Anti-Lambda(2110)     2.09000        0.250000        6              -1      1      0      0      0.0      0      13
3118          Sigma(2030)-          2.03000        0.180000        8               1     -1      0      0      1.0     -1      18
3218          Sigma(2030)0          2.03000        0.180000        8               1     -1      0      0      1.0      0      22
3228          Sigma(2030)+          2.03000        0.180000        8               1     -1      0      0      1.0      1      18
-3118         Anti-Sigma(2030)-     2.03000        0.180000        8              -1      1      0      0      1.0      1      18
-3218         Anti-Sigma(2030)0     2.03000        0.180000        8              -1      1      0      0      1.0      0      22
-3228         Anti-Sigma(2030)+     2.03000        0.180000        8              -1      1      0      0      1.0     -1      18
203316        Ksi(2030)-            2.02500        0.020000        6               1     -2      0      0      0.5     -1      3
203326        Ksi(2030)0            2.02500        0.020000        6               1     -2      0      0      0.5      0      3
-203316       Anti-Ksi(2030)-       2.02500        0.020000        6              -1      2      0      0      0.5      1      3
-203326       Anti-Ksi(2030)0       2.02500        0.020000        6              -1      2      0      0      0.5      0      3
229           f4(2050)              2.01800        0.237000        9               0      0      0      0      0.0      0      9
9813334       Omega(2012)           2.01240        0.006400        4               1     -3      0      0      0.0     -1      2
-9813334      Anti-Omega(2012)      2.01240        0.006400        4              -1      3      0      0      0.0      1      2
9060225       f2(2010)              2.01100        0.202000        5               0      0      0      0      0.0      0      3
-219          a4(1970)-             1.96700        0.324000        9               0      0      0      0      1.0     -1      5
119           a4(1970)0             1.96700        0.324000        9               0      0      0      0      1.0      0      5
