# ID          Name                  Mass(GeV)      Width(GeV)      Degeneracy      B      S      C      b      I        Q      Decays
22            gamma                 0.00000        0.000000        2               0      0      0      0      1.0      0      1
-211          pi-                   0.13800        7.7e-9          1               0      0      0      0      1.0     -1      1
111           pi0                   0.13800        7.7e-9          1               0      0      0      0      1.0      0      1
211           pi+                   0.13800        7.7e-9          1               0      0      0      0      1.0      1      1
-311          Anti-K0               0.49400        0.000000        1               0     -1      0      0      0.5      0      1
-321          Anti-K+               0.49400        0.000000        1               0     -1      0      0      0.5     -1      1
311           K0                    0.49400        0.000000        1               0      1      0      0      0.5      0      1
321           K+                    0.49400        0.000000        1               0      1      0      0      0.5      1      1
221           eta                   0.54800        1.31e-06        1               0      0      0      0      0.0      0      5
-213          rho-                  0.77600        0.148000        3               0      0      0      0      1.0     -1      1
113           rho0                  0.77600        0.148000        3               0      0      0      0      1.0      0      1
213           rho+                  0.77600        0.148000        3               0      0      0      0      1.0      1      1
223           omega(782)            0.78300        0.008680        3               0      0      0      0      0.0      0      4
9000221       sigma                 0.80000        0.400000        1               0      0      0      0      0.0      0      2
-313          Anti-K*(892)0         0.89200        0.050000        3               0     -1      0      0      0.5      0      2
-323          Anti-K*(892)+         0.89200        0.050000        3               0     -1      0      0      0.5     -1      2
313           K*(892)0              0.89200        0.050000        3               0      1      0      0      0.5      0      2
323           K*(892)+              0.89200        0.050000        3               0      1      0      0      0.5      1      2
-2112         Anti-N0               0.93800        0.000000        2              -1      0      0      0      0.5      0      1
-2212         Anti-N+               0.93800        0.000000        2              -1      0      0      0      0.5     -1      1
2112          N0                    0.93800        0.000000        2               1      0      0      0      0.5      0      1
2212          N+                    0.93800        0.000000        2               1      0      0      0      0.5      1      1
331           eta'(958)             0.95800        0.000188        1               0      0      0      0      0.0      0      7
-9000211      a0(980)-              0.98900        0.075000        1               0      0      0      0      1.0     -1      2
9000111       a0(980)0              0.98900        0.075000        1               0      0      0      0      1.0      0      3
9000211       a0(980)+              0.98900        0.075000        1               0      0      0      0      1.0      1      2
9010221       f0(980)               0.99000        0.055000        1               0      0      0      0      0.0      0      4
333           phi(1020)             1.01950        0.004250        3               0      0      0      0      0.0      0      7
-3122         Anti-Lambda           1.11570        0.000000        2              -1      1      0      0      0.0      0      1
3122          Lambda                1.11570        0.000000        2               1     -1      0      0      0.0      0      1
10223         h1(1170)              1.16600        0.375000        3               0      0      0      0      0.0      0      3
-3112         Anti-Sigma-           1.18940        0.000000        2              -1      1      0      0      1.0      1      1
-3212         Anti-Sigma0           1.18940        8.9e-06         2              -1      1      0      0      1.0      0      1
-3222         Anti-Sigma+           1.18940        0.000000        2              -1      1      0      0      1.0     -1      1
3112          Sigma-                1.18940        0.000000        2               1     -1      0      0      1.0     -1      1
3212          Sigma0                1.18940        8.9e-06         2               1     -1      0      0      1.0      0      1
3222          Sigma+                1.18940        0.000000        2               1     -1      0      0      1.0      1      1
-10213        b1(1235)-             1.22950        0.142000        3               0      0      0      0      1.0     -1      2
10113         b1(1235)0             1.22950        0.142000        3               0      0      0      0      1.0      0      2
10213         b1(1235)+             1.22950        0.142000        3               0      0      0      0      1.0      1      2
-20213        a1(1260)-             1.23000        0.425000        3               0      0      0      0      1.0     -1      2
20113         a1(1260)0             1.23000        0.425000        3               0      0      0      0      1.0      0      1
20213         a1(1260)+             1.23000        0.425000        3               0      0      0      0      1.0      1      2
-1114         Anti-Delta(1232)-     1.23200        0.117000        4              -1      0      0      0      1.5      1      1
-2114         Anti-Delta(1232)0     1.23200        0.117000        4              -1      0      0      0      1.5      0      2
-2214         Anti-Delta(1232)+     1.23200        0.117000        4              -1      0      0      0      1.5     -1      2
-2224         Anti-Delta(1232)++    1.23200        0.117000        4              -1      0      0      0      1.5     -2      1
1114          Delta(1232)-          1.23200        0.117000        4               1      0      0      0      1.5     -1      1
2114          Delta(1232)0          1.23200        0.117000        4               1      0      0      0      1.5      0      2
2214          Delta(1232)+          1.23200        0.117000        4               1      0      0      0      1.5      1      2
2224          Delta(1232)++         1.23200        0.117000        4               1      0      0      0      1.5      2      1
-10313        Anti-K1(1270)0        1.25300        0.090000        3               0     -1      0      0      0.5      0      7
-10323        Anti-K1(1270)+        1.25300        0.090000        3               0     -1      0      0      0.5     -1      7
10313         K1(1270)0             1.25300        0.090000        3               0      1      0      0      0.5      0      7
10323         K1(1270)+             1.25300        0.090000        3               0      1      0      0      0.5      1      7
225           f2(1270)              1.27550        0.186700        5               0      0      0      0      0.0      0      7
100221        eta(1295)             1.29400        0.055000        1               0      0      0      0      0.0      0      2
-100211       pi(1300)-             1.30000        0.400000        1               0      0      0      0      1.0     -1      2
100111        pi(1300)0             1.30000        0.400000        1               0      0      0      0      1.0      0      3
100211        pi(1300)+             1.30000        0.400000        1               0      0      0      0      1.0      1      2
-3312         Anti-Ksi-             1.31800        0.000000        2              -1      2      0      0      0.5      1      1
-3322         Anti-Ksi0             1.31800        0.000000        2              -1      2      0      0      0.5      0      1
3312          Ksi-                  1.31800        0.000000        2               1     -2      0      0      0.5     -1      1
3322          Ksi0                  1.31800        0.000000        2               1     -2      0      0      0.5      0      1
10221         f0(1370)              1.35000        0.350000        1               0      0      0      0      0.0      0      7
-9000213      pi1(1400)-            1.35400        0.330000        3               0      0      0      0      1.0     -1      1
9000113       pi1(1400)0            1.35400        0.330000        3               0      0      0      0      1.0      0      1
9000213       pi1(1400)+            1.35400        0.330000        3               0      0      0      0      1.0      1      1
20223         f1(1285)              1.37000        0.022700        3               0      0      0      0      0.0      0      10
-215          a2(1320)-             1.37000        0.105000        5               0      0      0      0      1.0     -1      7
115           a2(1320)0             1.37000        0.105000        5               0      0      0      0      1.0      0      7
215           a2(1320)+             1.37000        0.105000        5               0      0      0      0      1.0      1      7
-3114         Anti-Sigma(1385)-     1.38500        0.036000        4              -1      1      0      0      1.0      1      4
-3214         Anti-Sigma(1385)0     1.38500        0.036000        4              -1      1      0      0      1.0      0      4
-3224         Anti-Sigma(1385)+     1.38500        0.036000        4              -1      1      0      0      1.0     -1      4
3114          Sigma(1385)-          1.38500        0.036000        4               1     -1      0      0      1.0     -1      4
3214          Sigma(1385)0          1.38500        0.036000        4               1     -1      0      0      1.0      0      4
3224          Sigma(1385)+          1.38500        0.036000        4               1     -1      0      0      1.0      1      4
-20313        Anti-K1(1400)0        1.40300        0.174000        3               0     -1      0      0      0.5      0      6
-20323        Anti-K1(1400)+        1.40300        0.174000        3               0     -1      0      0      0.5     -1      6
20313         K1(1400)0             1.40300        0.174000        3               0      1      0      0      0.5      0      6
20323         K1(1400)+             1.40300        0.174000        3               0      1      0      0      0.5      1      6
-13122        Anti-Lambda(1405)     1.40510        0.050500        2              -1      1      0      0      0.0      0      3
13122         Lambda(1405)          1.40510        0.050500        2               1     -1      0      0      0.0      0      3
9020221       eta(1405)             1.40880        0.050100        1               0      0      0      0      0.0      0      10
100223        omega(1420)           1.41000        0.290000        3               0      0      0      0      0.0      0      8
-100313       Anti-K*(1410)0        1.41400        0.232000        3               0     -1      0      0      0.5      0      6
-100323       Anti-K*(1410)+        1.41400        0.232000        3               0     -1      0      0      0.5     -1      6
100313        K*(1410)0             1.41400        0.232000        3               0      1      0      0      0.5      0      6
100323        K*(1410)+             1.41400        0.232000        3               0      1      0      0      0.5      1      6
10333         h1(1415)              1.41600        0.090000        3               0      0      0      0      0.0      0      4
-10311        Anti-K0*(1430)0       1.42500        0.270000        1               0     -1      0      0      0.5      0      3
-10321        Anti-K0*(1430)+       1.42500        0.270000        1               0     -1      0      0      0.5     -1      3
10311         K0*(1430)0            1.42500        0.270000        1               0      1      0      0      0.5      0      3
10321         K0*(1430)+            1.42500        0.270000        1               0      1      0      0      0.5      1      3
20333         f1(1420)              1.42630        0.054500        3               0      0      0      0      0.0      0      4
-315          Anti-K2*(1430)0       1.42700        0.104000        5               0     -1      0      0      0.5      0      10
-325          Anti-K2*(1430)+       1.42700        0.104000        5               0     -1      0      0      0.5     -1      10
315           K2*(1430)0            1.42700        0.104000        5               0      1      0      0      0.5      0      10
325           K2*(1430)+            1.42700        0.104000        5               0      1      0      0      0.5      1      10
