# the list of decays
# each entry consists of the following:
# a line with the pdgid of decaying particle
# a line with the number of decay channels
# for each channel a line containing whitespace-separated values of the channel branching ratio and pdg ids of the daughter products
# everything after the # symbol is treated as a comment and ignored
# decays of antiparticles are not listed but generated from the listed decays of particles

9913328					
8					
0.8	9803328	22			
0.05	3122	-321	211		
0.05	3122	-311	111		
0.02	3112	-311	211		
0.02	3212	-321	211		
0.02	3212	-311	111		
0.02	3222	-321	111		
0.02	3222	-311	-211		
					
9913318					
8					
0.8	9803318	22			
0.05	3122	-321	111		
0.05	3122	-311	-211		
0.02	3112	-321	211		
0.02	3112	-311	111		
0.02	3212	-321	111		
0.02	3212	-311	-211		
0.02	3222	-321	-211		
					
9912228					
2					
0.94	9822228	22			
0.06	2212	211			
					
9912218					
3					
0.9	2128	22			
0.05	2112	211			
0.05	2212	111			
					
9912128					
3					
0.94	9822218	22			
0.03	2112	211			
0.03	2212	111			
					
9912118					
3					
0.9	1218	22			
0.05	2112	111			
0.05	2212	-211			
					
9911218					
3					
0.94	9822118	22			
0.03	2112	111			
0.03	2212	-211			
					
9911118					
2					
0.94	9821118	22			
0.06	2112	-211			
					
9903332					
2					
0.8	9803336	22			
0.2	3334	-211	211		
					
9903328					
11					
0.8	9803328	22			
0.033	3122	-321	211		
0.033	3122	-311	111		
0.023	3322	111	111		
0.022	3312	211	111		
0.022	3322	-211	211		
0.014	3212	-311	111		
0.014	3222	-321	111		
0.013	3112	-311	211		
0.013	3212	-321	211		
0.013	3222	-311	-211		
					
9903322					
11					
0.8	9913328	22			
0.04	3122	-311			
0.02	3212	-311			
0.02	3222	-321			
0.02	3312	211			
0.02	3314	211			
0.02	3322	111			
0.02	3324	111			
0.014	3322	111	111		
0.013	3312	211	111		
0.013	3322	-211	211		
					
9903318					
11					
0.8	9803318	22			
0.033	3122	-321	111		
0.033	3122	-311	-211		
0.023	3312	111	111		
0.022	3312	-211	211		
0.022	3322	-211	111		
0.014	3112	-311	111		
0.014	3212	-321	111		
0.013	3112	-321	211		
0.013	3212	-311	-211		
0.013	3222	-321	-211		
					
9903312					
11					
0.8	9913318	22			
0.04	3122	-321			
0.02	3112	-311			
0.02	3212	-321			
0.02	3312	111			
0.02	3314	111			
0.02	3322	-211			
0.02	3324	-211			
0.014	3312	111	111		
0.013	3312	-211	211		
0.013	3322	-211	111		
					
9903128					
6					
0.78	3128	22			
0.06	2112	-311			
0.06	2212	-321			
0.0334	3212	111			
0.0333	3112	211			
0.0333	3222	-211			
					
9902228					
2					
0.955	9812228	22			
0.045	2212	211			
					
9902226					
2					
0.96	9902224	22			
0.04	2212	211			
					
9902224					
2					
0.96	9902222	22			
0.04	2212	211			
					
9902222					
2					
0.9	9822228	22			
0.1	2212	211			
					
9902218					
3					
0.8	2128	22			
0.1	2112	211			
0.1	2212	111			
					
9902214					
3					
0.96	9902212	22			
0.02	2112	211			
0.02	2212	111			
					
9902212					
3					
0.925	9882212	22			
0.0375	2112	211			
0.0375	2212	111			
					
9902128					
3					
0.955	9812218	22			
0.0225	2112	211			
0.0225	2212	111			
					
9902126					
3					
0.96	9902124	22			
0.02	2112	211			
0.02	2212	111			
					
9902124					
3					
0.96	9902122	22			
0.02	2112	211			
0.02	2212	111			
					
9902122					
3					
0.9	9822218	22			
0.05	2112	211			
0.05	2212	111			
					
9902118					
3					
0.8	1218	22			
0.1	2112	111			
0.1	2212	-211			
					
9902114					
3					
0.96	9902112	22			
0.02	2112	111			
0.02	2212	-211			
					
9902112					
3					
0.925	9882112	22			
0.0375	2112	111			
0.0375	2212	-211			
					
9901218					
3					
0.955	9812118	22			
0.0225	2112	111			
0.0225	2212	-211			
					
9901216					
3					
0.96	9901214	22			
0.02	2112	111			
0.02	2212	-211			
					
9901214					
3					
0.96	9901212	22			
0.02	2112	111			
0.02	2212	-211			
					
9901212					
3					
0.9	9822118	22			
0.05	2112	111			
0.05	2212	-211			
					
9901118					
2					
0.955	9811118	22			
0.045	2112	-211			
					
9901116					
2					
0.96	9901114	22			
0.04	2112	-211			
					
9901114					
2					
0.96	9901112	22			
0.04	2112	-211			
					
9901112					
2					
0.9	9821118	22			
0.1	2112	-211			
					
9893224					
2					
0.7	9833226	22			
0.3	2212	-311			
					
9893214					
3					
0.7	9833216	22			
0.15	2212	-321			
0.15	2112	-311			
					
9893114					
2					
0.7	9833116	22			
0.3	2112	-321			
					
9883224					
11					
0.345	2212	-313			
0.141	3124	211			
0.121	3122	211			
0.111	2224	-321			
0.111	2214	-311			
0.061	2212	-311			
0.035	3224	111			
0.035	3214	211			
0.02	3322	321			
0.01	3222	111			
0.01	3212	211			
					
9883214					
16					
0.172	2212	-323			
0.172	2112	-313			
0.14	3124	111			
0.121	3122	111			
0.111	2214	-321			
0.111	2114	-311			
0.03	2212	-321			
0.03	2112	-311			
0.024	3224	-211			
0.024	3214	111			
0.024	3114	211			
0.01	3322	311			
0.01	3312	321			
0.007	3222	-211			
0.007	3212	111			
0.007	3112	211			
					
9883114					
11					
0.345	2112	-323			
0.141	3124	-211			
0.121	3122	-211			
0.111	2114	-321			
0.111	1114	-311			
0.061	2112	-321			
0.035	3214	-211			
0.035	3114	111			
0.02	3312	311			
0.01	3212	-211			
0.01	3112	111			
					
9882212					
1					
1.0	2128	22			
					
9882112					
1					
1.0	1218	22			
					
9873224					
4					
0.95	3228	22			
0.025	2212	-311			
0.0125	3212	211			
0.0125	3222	111			
					
9873214					
6					
0.95	3218	22			
0.0125	2112	-311			
0.0125	2212	-321			
0.0084	3212	111			
0.0083	3112	211			
0.0083	3222	-211			
					
9873122					
4					
0.57	23124	22			
0.16	3122	221			
0.135	2112	-311			
0.135	2212	-321			
					
9873114					
4					
0.95	3118	22			
0.025	2112	-321			
0.0125	3112	111			
0.0125	3212	-211			
					
9872212					
10					
0.25	9862212	22			
0.15	22112	211			
0.15	22212	111			
0.1	2112	211	111		
0.1	2212	-211	211		
0.1	2212	111	111		
0.065	2112	211			
0.065	2212	111			
0.01	2212	221			
0.01	3122	321			
					
9872112					
10					
0.25	9862112	22			
0.15	22112	111			
0.15	22212	-211			
0.1	2112	-211	211		
0.1	2112	111	111		
0.1	2212	-211	111		
0.065	2112	111			
0.065	2212	-211			
0.01	2112	221			
0.01	3122	311			
					
9863224					
11					
0.518	2212	-313			
0.137	3124	211			
0.069	2212	-311			
0.059	2224	-321			
0.059	2214	-311			
0.049	3122	211			
0.029	3322	321			
0.025	3224	111			
0.025	3214	211			
0.015	3222	111			
0.015	3212	211			
					
9863222					
5					
0.574	3122	211			
0.309	2212	-311			
0.043	2212	-313			
0.037	3222	111			
0.037	3212	211			
					
9863214					
16					
0.26	2212	-323			
0.26	2112	-313			
0.137	3124	111			
0.059	2214	-321			
0.059	2114	-311			
0.049	3122	111			
0.034	2212	-321			
0.034	2112	-311			
0.016	3224	-211			
0.016	3214	111			
0.016	3114	211			
0.015	3322	311			
0.015	3312	321			
0.01	3222	-211			
0.01	3212	111			
0.01	3112	211			
					
9863212					
8					
0.574	3122	111			
0.154	2212	-321			
0.154	2112	-311			
0.025	3222	-211			
0.025	3212	111			
0.025	3112	211			
0.022	2112	-313			
0.021	2212	-323			
					
9863122					
9					
0.252941176	2112	-311			
0.252941176	2212	-321			
0.082352941	3112	211			
0.082352941	3212	111			
0.082352941	3222	-211			
0.08	3214	111			
0.077647059	3114	211			
0.077647059	3224	-211			
0.011764706	13124	22			
					
9863114					
11					
0.518	2112	-323			
0.137	3124	-211			
0.069	2112	-321			
0.059	2114	-321			
0.059	1114	-311			
0.049	3122	-211			
0.029	3312	311			
0.025	3214	-211			
0.025	3114	111			
0.015	3212	-211			
0.015	3112	111			
					
9863112					
5					
0.574	3122	-211			
0.309	2112	-321			
0.043	2112	-323			
0.037	3212	-211			
0.037	3112	111			
					
9862212					
13					
0.231	2212	223			
0.206	2212	221			
0.165	2212	331			
0.103	3122	321			
0.054	3212	321			
0.054	3222	311			
0.041	2112	211			
0.041	2212	111			
0.021	2114	211			
0.021	2214	111			
0.021	2224	-211			
0.021	12112	211			
0.021	12212	111			
					
9862124					
11					
0.132	22112	211			
0.131	22212	111			
0.122	2224	-211			
0.122	2214	111			
0.122	2114	211			
0.117	2212	223			
0.088	3122	321			
0.049	2112	211			
0.049	2212	111			
0.039	2212	331			
0.029	2212	221			
					
9862112					
12					
0.23	2112	223			
0.206	2112	221			
0.165	2112	331			
0.103	3122	311			
0.053	3112	321			
0.053	3212	311			
0.041	2112	111			
0.041	2212	-211			
0.033	2114	111			
0.033	2214	-211			
0.021	12112	111			
0.021	12212	-211			
					
9861214					
11					
0.132	22112	111			
0.131	22212	-211			
0.122	2214	-211			
0.122	2114	111			
0.122	1114	211			
0.117	2112	223			
0.088	3122	311			
0.049	2112	111			
0.049	2212	-211			
0.039	2112	331			
0.029	2112	221			
					
9853224					
7					
0.56	9853222	22			
0.13	2212	-311			
0.11	3214	211			
0.11	3224	111			
0.05	3122	211			
0.02	3212	211			
0.02	3222	111			
					
9853222					
11					
0.516	2212	-311			
0.117	3222	111			
0.117	3212	211			
0.067	2212	-313			
0.056	3122	211			
0.033	3224	111			
0.033	3214	211			
0.028	3322	321			
0.012	2224	-321			
0.012	2214	-311			
0.009	3222	221			
					
9853214					
10					
0.56	9853212	22			
0.074	3214	111			
0.073	3114	211			
0.073	3224	-211			
0.065	2112	-311			
0.065	2212	-321			
0.05	3124	111			
0.014	3212	111			
0.013	3112	211			
0.013	3222	-211			
					
9853212					
16					
0.258	2212	-321			
0.258	2112	-311			
0.078	3222	-211			
0.078	3212	111			
0.078	3112	211			
0.056	3122	111			
0.033	2212	-323			
0.033	2112	-313			
0.022	3224	-211			
0.022	3214	111			
0.022	3114	211			
0.014	3312	321			
0.014	3322	311			
0.012	2214	-321			
0.012	2114	-311			
0.01	3212	221			
					
9853124					
4					
0.78	23126	22			
0.1	2112	-311			
0.1	2212	-321			
0.02	3122	223			
					
9853114					
7					
0.56	9853112	22			
0.13	2112	-321			
0.11	3114	111			
0.11	3214	-211			
0.05	3124	-211			
0.02	3112	111			
0.02	3212	-211			
					
9853112					
11					
0.516	2112	-321			
0.117	3112	111			
0.117	3212	-211			
0.067	2112	-323			
0.056	3122	-211			
0.033	3114	111			
0.033	3214	-211			
0.028	3312	311			
0.012	1114	-311			
0.012	2114	-321			
0.009	3112	221			
					
9852216					
1					
1.0	9882212	22			
					
9852212					
11					
0.188679245	2212	-211	211		
0.188679245	2112	211	111		
0.188679245	2212	111	111		
0.094339623	2212	221			
0.094339623	3212	321			
0.094339623	3222	311			
0.037735849	22112	211			
0.037735849	22212	111			
0.028301887	2112	211			
0.028301887	2212	111			
0.018867925	3122	321			
					
9852124					
1					
1.0	9862212	22			
					
9852116					
1					
1.0	9882112	22			
					
9852112					
11					
0.188679245	2112	-211	211		
0.188679245	2112	111	111		
0.188679245	2212	-211	111		
0.094339623	2112	221			
0.094339623	3112	321			
0.094339623	3212	311			
0.037735849	22112	111			
0.037735849	22212	-211			
0.028301887	2112	111			
0.028301887	2212	-211			
0.018867925	3122	311			
					
9851214					
1					
1.0	9862112	22			
					
9843226					
2					
0.9	9893224	22			
0.1	2212	-311			
					
9843224					
5					
0.7	3122	211			
0.16	13224	22			
0.06	3212	211			
0.06	3222	111			
0.02	2212	-311			
					
9843222					
5					
0.8	23222	22			
0.066	2212	-311			
0.066	3122	211			
0.034	3212	211			
0.034	3222	111			
					
9843216					
3					
0.9	9893214	22			
0.05	2212	-321			
0.05	2112	-311			
					
9843214					
7					
0.7	3122	111			
0.16	13214	22			
0.04	3112	211			
0.04	3212	111			
0.04	3222	-211			
0.01	2112	-311			
0.01	2212	-321			
					
9843212					
7					
0.8	23212	22			
0.066	3122	111			
0.034	2112	-311			
0.034	2212	-321			
0.022	3112	211			
0.022	3212	111			
0.022	3222	-211			
					
9843124					
13					
0.287	2212	-323			
0.287	2112	-313			
0.097	3122	223			
0.052	2212	-321			
0.052	2112	-311			
0.035	3224	-211			
0.035	3214	111			
0.035	3114	211			
0.03	3322	311			
0.03	3312	321			
0.02	3222	-211			
0.02	3212	111			
0.02	3112	211			
					
9843116					
2					
0.9	9893114	22			
0.1	2112	-321			
					
9843114					
5					
0.7	3122	-211			
0.16	13114	22			
0.06	3112	111			
0.06	3212	-211			
0.02	2112	-321			
					
9843112					
5					
0.8	23112	22			
0.066	2112	-321			
0.066	3122	-211			
0.034	3112	111			
0.034	3212	-211			
					
9842224					
6					
0.734	2212	213			
0.092	2224	221			
0.073	22212	211			
0.037	2212	211			
0.032	2224	111			
0.032	2214	211			
					
9842222					
2					
0.92	9822226	22			
0.08	2212	211			
					
9842216					
16					
0.37	9832216	22			
0.075	1214	211			
0.075	2124	111			
0.075	12116	211			
0.075	12216	111			
0.047	2112	211			
0.047	2212	111			
0.045	12112	211			
0.045	12212	111			
0.04	2212	221			
0.024	2112	211	111		
0.024	2212	-211	211		
0.023	2212	111	111		
0.015	3212	321			
0.015	3222	311			
0.005	3122	321			
					
9842214					
10					
0.367	2212	113			
0.367	2112	213			
